	artist_name	track_name	uri	0	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	id	track_href	analysis_url	duration_ms	time_signature
5215	Kathryn Beaumont	All In the Golden Afternoon	spotify:track:3E8MFSBnMnv5Gc89Dj9ulR	1	0.568	0.225	3	-13.539	1	0.0601	0.986	0.0183	0.166	0.465	59.138	audio_features	3E8MFSBnMnv5Gc89Dj9ulR	https://api.spotify.com/v1/tracks/3E8MFSBnMnv5Gc89Dj9ulR	https://api.spotify.com/v1/audio-analysis/3E8MFSBnMnv5Gc89Dj9ulR	161253	4
5216	Katy Perry	Birthday	spotify:track:2xLOMHjkOK8nzxJ4r6yOKR	3	0.719	0.674	11	-5.122	1	0.0681	0.0879	3.75e-06	0.112	0.843	125.98	audio_features	2xLOMHjkOK8nzxJ4r6yOKR	https://api.spotify.com/v1/tracks/2xLOMHjkOK8nzxJ4r6yOKR	https://api.spotify.com/v1/audio-analysis/2xLOMHjkOK8nzxJ4r6yOKR	215042	4
5217	Katy Perry	California Gurls	spotify:track:6KOEK6SeCEZOQkLj5M1PxH	4	0.788	0.753	0	-3.71	1	0.0536	0.0038	0.0	0.18	0.403	125.005	audio_features	6KOEK6SeCEZOQkLj5M1PxH	https://api.spotify.com/v1/tracks/6KOEK6SeCEZOQkLj5M1PxH	https://api.spotify.com/v1/audio-analysis/6KOEK6SeCEZOQkLj5M1PxH	234653	4
5218	Katy Perry	California Gurls	spotify:track:6tS3XVuOyu10897O3ae7bi	12	0.791	0.754	0	-3.729	1	0.0569	0.00446	0.0	0.163	0.425	125.014	audio_features	6tS3XVuOyu10897O3ae7bi	https://api.spotify.com/v1/tracks/6tS3XVuOyu10897O3ae7bi	https://api.spotify.com/v1/audio-analysis/6tS3XVuOyu10897O3ae7bi	234653	4
5219	Katy Perry	Cry About It Later	spotify:track:7cLrrJ1Dk6WAQyDIj9j26A	1	0.699	0.669	2	-5.829	0	0.0712	0.0794	1.71e-05	0.248	0.444	125.994	audio_features	7cLrrJ1Dk6WAQyDIj9j26A	https://api.spotify.com/v1/tracks/7cLrrJ1Dk6WAQyDIj9j26A	https://api.spotify.com/v1/audio-analysis/7cLrrJ1Dk6WAQyDIj9j26A	189773	4
5220	Katy Perry	Daisies	spotify:track:367wyLNqQMr5e8S2E6Zvpp	1	0.642	0.546	1	-5.377	1	0.0407	0.0825	0.0	0.0989	0.142	122.165	audio_features	367wyLNqQMr5e8S2E6Zvpp	https://api.spotify.com/v1/tracks/367wyLNqQMr5e8S2E6Zvpp	https://api.spotify.com/v1/audio-analysis/367wyLNqQMr5e8S2E6Zvpp	174313	4
5221	Katy Perry	Dark Horse	spotify:track:4jbmgIyjGoXjY01XxatOx6	1	0.647	0.585	6	-6.123	1	0.0512	0.00314	0.0	0.165	0.353	131.934	audio_features	4jbmgIyjGoXjY01XxatOx6	https://api.spotify.com/v1/tracks/4jbmgIyjGoXjY01XxatOx6	https://api.spotify.com/v1/audio-analysis/4jbmgIyjGoXjY01XxatOx6	215672	4
5222	Katy Perry	E.T.	spotify:track:4kkeuVl6gF3RMqE4Nn5W3E	10	0.602	0.863	5	-5.423	0	0.0773	0.0178	0.0	0.389	0.732	150.183	audio_features	4kkeuVl6gF3RMqE4Nn5W3E	https://api.spotify.com/v1/tracks/4kkeuVl6gF3RMqE4Nn5W3E	https://api.spotify.com/v1/audio-analysis/4kkeuVl6gF3RMqE4Nn5W3E	206373	4
5223	Katy Perry	E.T.	spotify:track:4z8ssgZfs5TzKiO8HaGWXO	3	0.603	0.872	5	-5.404	0	0.0792	0.0213	0.0	0.366	0.691	150.104	audio_features	4z8ssgZfs5TzKiO8HaGWXO	https://api.spotify.com/v1/tracks/4z8ssgZfs5TzKiO8HaGWXO	https://api.spotify.com/v1/audio-analysis/4z8ssgZfs5TzKiO8HaGWXO	206373	4
5224	Katy Perry	E.T.	spotify:track:6dmv1m6sHSvPkEQdz67c12	1	0.602	0.863	5	-5.423	0	0.0773	0.0178	0.0	0.389	0.732	150.183	audio_features	6dmv1m6sHSvPkEQdz67c12	https://api.spotify.com/v1/tracks/6dmv1m6sHSvPkEQdz67c12	https://api.spotify.com/v1/audio-analysis/6dmv1m6sHSvPkEQdz67c12	206373	4
